name;format;height;width;height_to_width;ncol;aircraft_manufacturer;aircraft_type;view
Cathay_Pacific_Airways_Boeing_777-300ER_C_0.jpg;jpg;540;960;0.5625;3;Boeing;777;Meal
KLM_Airbus_A330-300_1.jpg;jpg;720;960;0.75;3;Airbus;A330;Int
American_Airlines_Boeing_767-300_3.jpg;jpg;720;720;1.0;3;Boeing;767;Int
Air_Canada_Boeing_767-300ER_v2_3.jpg;jpg;720;960;0.75;3;Boeing;767;Meal
United_Airlines_Q400_A_2.jpg;jpg;720;960;0.75;3;Other;;Ext
American_Airlines_Boeing_787-8_1.jpg;jpg;720;720;1.0;3;Boeing;787;Int
Edelweiss_Air_A340-300_0.jpg;jpg;720;960;0.75;3;Other;;Int
Etihad_Airways_Airbus_A380_0.jpg;jpg;720;960;0.75;3;Airbus;A380;Int
United_Airlines_Boeing_767_300_ER_1.jpg;jpg;720;960;0.75;3;Boeing;767;Int
Iberia_Airbus_A330-200_0.jpg;jpg;720;960;0.75;3;Airbus;A330;Others
China_Eastern_Boeing_777_300ER_0.jpg;jpg;720;405;1.7777777777777777;3;Boeing;777;Int
Oman_Air_Boeing_737-900_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737;Others
China_Eastern_Boeing_737_800_V4_0.jpg;jpg;720;722;0.9972299168975071;3;Boeing;737;Ext_Int
LAN_Airlines_Airbus_A320_4.jpg;jpg;720;960;0.75;3;Airbus;A320;Ext
Delta_Airlines_Boeing_767-300_D_New_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;767;Int
Lufthansa_Embraer_190_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int
Copa_Airlines_Embraer_190_AR_A_3.jpg;jpg;720;960;0.75;3;Other;;Ext
Hawaiian_Airlines_Airbus_A321neo_0.jpg;jpg;720;960;0.75;3;Airbus;A321;Int
Austrian_Airlines_Embraer195_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int
Air_Transat_Airbus_A310-300_1.jpg;jpg;640;960;0.6666666666666666;3;Airbus;A310;Ext
China_Airlines_Airbus_A330-300_V2_0.jpg;jpg;720;405;1.7777777777777777;3;Airbus;A330;Int
Iberia_Canadair_CRJ200_2.jpg;jpg;540;960;0.5625;3;Other;;Ext_Int
KLM_Boeing_737-700_2.jpg;jpg;720;960;0.75;3;Boeing;737;Ext
LAN_Airlines_Boeing_767-300_4.jpg;jpg;720;960;0.75;3;Boeing;767;Ext_Int
Gulf_Air_Airbus_A320_3.jpg;jpg;720;960;0.75;3;Airbus;A320;Meal
Frontier_Airlines_Airbus_A319_V2_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int
Norwegian_Air_Shuttle_Boeing_787-8_2.jpg;jpg;720;960;0.75;3;Boeing;787;Int
Delta_Airlines_Boeing_737-900ER_3.jpg;jpg;720;960;0.75;3;Boeing;737;Int
Lufthansa_Airbus_A340-300_V3_0.jpg;jpg;720;960;0.75;3;Airbus;A340;Ext
Jetstar_Boeing_787-8_4.jpg;jpg;720;753;0.9561752988047808;3;Boeing;787;Int
Volaris_Airlines_Airbus_A320_2.jpg;jpg;720;720;1.0;3;Airbus;A320;Int
ANA_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787;Int
American_Airlines_Embraer_EMB-190_3.jpg;jpg;720;960;0.75;3;Other;;Int
United_Airlines_Airbus_A319_V1_1.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int
Aer_Lingus_Airbus_A330-300_A_3.jpg;jpg;720;960;0.75;3;Airbus;A330;Int
China_Eastern_Boeing_737_800_V4_2.jpg;jpg;720;720;1.0;3;Boeing;737;Int
Turkish_Airlines_Airbus_A340_0.jpg;jpg;720;720;1.0;3;Airbus;A340;Ext
Hawaiian_Airlines_Airbus_A330-200_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330;Int
Air_Canada_Dash_81_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int
South_African_Airways_Airbus_A340-600_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A340;Int
LAN_Airlines_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787;Ext
Delta_Airlines_Boeing_757-300_75Y_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;757;Int
Air_Asia_Airbus_320_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320;Ext_Int
Qantas_Airways_Airbus_A380_B_4.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380;Int
TUIfly_Boeing_737-800_2.jpg;jpg;720;960;0.75;3;Boeing;737;Int
Air_Canada_Boeing_787-900_1.jpg;jpg;720;960;0.75;3;Boeing;787;Int
Etihad_Airways_Boeing_777-300ER_2.jpg;jpg;720;960;0.75;3;Boeing;777;Int
Asiana_Boeing_747-400_full_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747;Int
SpiceJet_Boeing_737-800_new_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737;Ext
Japan_Airlines_Boeing_767-300ER_1.jpg;jpg;720;960;0.75;3;Boeing;767;Int
American_Airlines_ERJ-175_MCE_3.jpg;jpg;720;720;1.0;3;Other;;Int
Finnair_Airbus_A321_0.jpg;jpg;720;720;1.0;3;Airbus;A321;Ext
Turkish_Airlines_Airbus_A319_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int
Hainan_Airlines_Boeing_737-800_2.jpg;jpg;720;720;1.0;3;Boeing;737;Int
United_Airlines_Embraer_Emb_175_1.jpg;jpg;720;960;0.75;3;Other;;Int
LAN_Airlines_Boeing_767-300_V2_3.jpg;jpg;720;720;1.0;3;Boeing;767;Int
Alaska_Airlines_Canadair_CRJ700_2.jpg;jpg;603;960;0.628125;3;Other;;Ext
Korean_Air_Boeing_747-400_C_1.jpg;jpg;720;538;1.3382899628252791;3;Boeing;747;Meal
Scoot_Airlines_Boeing_787-900_2.jpg;jpg;720;960;0.75;3;Boeing;787;Int
