;name;format;height;width;height_to_width;ncol;aircraft_manufacturer;aircraft_type;view;Person
0;Cathay_Pacific_Airways_Boeing_777-300ER_C_0.jpg;jpg;540;960;0.5625;3;Boeing;777;Meal;no
1;KLM_Airbus_A330-300_1.jpg;jpg;720;960;0.75;3;Airbus;A330;Int;no
2;American_Airlines_Boeing_767-300_3.jpg;jpg;720;720;1.0;3;Boeing;767;Int;no
3;Air_Canada_Boeing_767-300ER_v2_3.jpg;jpg;720;960;0.75;3;Boeing;767;Meal;no
4;United_Airlines_Q400_A_2.jpg;jpg;720;960;0.75;3;Other;;Ext;no
5;American_Airlines_Boeing_787-8_1.jpg;jpg;720;720;1.0;3;Boeing;787;Int;no
6;Edelweiss_Air_A340-300_0.jpg;jpg;720;960;0.75;3;Other;;Int;no
7;Etihad_Airways_Airbus_A380_0.jpg;jpg;720;960;0.75;3;Airbus;A380;Int;no
8;United_Airlines_Boeing_767_300_ER_1.jpg;jpg;720;960;0.75;3;Boeing;767;Int;no
9;Iberia_Airbus_A330-200_0.jpg;jpg;720;960;0.75;3;Airbus;A330;Others;no
10;China_Eastern_Boeing_777_300ER_0.jpg;jpg;720;405;1.7777777777777777;3;Boeing;777;Int;no
11;Oman_Air_Boeing_737-900_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737;Others;no
12;China_Eastern_Boeing_737_800_V4_0.jpg;jpg;720;722;0.9972299168975072;3;Boeing;737;Ext_Int;no
13;LAN_Airlines_Airbus_A320_4.jpg;jpg;720;960;0.75;3;Airbus;A320;Ext;no
14;Delta_Airlines_Boeing_767-300_D_New_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;767;Int;no
15;Lufthansa_Embraer_190_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int;no
16;Copa_Airlines_Embraer_190_AR_A_3.jpg;jpg;720;960;0.75;3;Other;;Ext;no
17;Hawaiian_Airlines_Airbus_A321neo_0.jpg;jpg;720;960;0.75;3;Airbus;A321;Int;no
18;Austrian_Airlines_Embraer195_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int;no
19;Air_Transat_Airbus_A310-300_1.jpg;jpg;640;960;0.6666666666666666;3;Airbus;A310;Ext;no
20;China_Airlines_Airbus_A330-300_V2_0.jpg;jpg;720;405;1.7777777777777777;3;Airbus;A330;Int;no
21;Iberia_Canadair_CRJ200_2.jpg;jpg;540;960;0.5625;3;Other;;Ext_Int;no
22;KLM_Boeing_737-700_2.jpg;jpg;720;960;0.75;3;Boeing;737;Ext;no
23;LAN_Airlines_Boeing_767-300_4.jpg;jpg;720;960;0.75;3;Boeing;767;Ext_Int;no
24;Gulf_Air_Airbus_A320_3.jpg;jpg;720;960;0.75;3;Airbus;A320;Meal;no
25;Frontier_Airlines_Airbus_A319_V2_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int;no
26;Norwegian_Air_Shuttle_Boeing_787-8_2.jpg;jpg;720;960;0.75;3;Boeing;787;Int;no
27;Delta_Airlines_Boeing_737-900ER_3.jpg;jpg;720;960;0.75;3;Boeing;737;Int;no
28;Lufthansa_Airbus_A340-300_V3_0.jpg;jpg;720;960;0.75;3;Airbus;A340;Ext;no
29;Jetstar_Boeing_787-8_4.jpg;jpg;720;753;0.9561752988047808;3;Boeing;787;Int;no
30;Volaris_Airlines_Airbus_A320_2.jpg;jpg;720;720;1.0;3;Airbus;A320;Int;no
31;ANA_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787;Int;no
32;American_Airlines_Embraer_EMB-190_3.jpg;jpg;720;960;0.75;3;Other;;Int;no
33;United_Airlines_Airbus_A319_V1_1.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int;no
34;Aer_Lingus_Airbus_A330-300_A_3.jpg;jpg;720;960;0.75;3;Airbus;A330;Int;no
35;China_Eastern_Boeing_737_800_V4_2.jpg;jpg;720;720;1.0;3;Boeing;737;Int;no
36;Turkish_Airlines_Airbus_A340_0.jpg;jpg;720;720;1.0;3;Airbus;A340;Ext;no
37;Hawaiian_Airlines_Airbus_A330-200_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330;Int;no
38;Air_Canada_Dash_81_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int;no
39;South_African_Airways_Airbus_A340-600_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A340;Int;no
40;LAN_Airlines_Boeing_787-900_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787;Ext;no
41;Delta_Airlines_Boeing_757-300_75Y_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;757;Int;no
42;Air_Asia_Airbus_320_2.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A320;Ext_Int;no
43;Qantas_Airways_Airbus_A380_B_4.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380;Int;no
44;TUIfly_Boeing_737-800_2.jpg;jpg;720;960;0.75;3;Boeing;737;Int;no
45;Air_Canada_Boeing_787-900_1.jpg;jpg;720;960;0.75;3;Boeing;787;Int;no
46;Etihad_Airways_Boeing_777-300ER_2.jpg;jpg;720;960;0.75;3;Boeing;777;Int;no
47;Asiana_Boeing_747-400_full_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747;Int;no
48;SpiceJet_Boeing_737-800_new_3.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737;Ext;no
49;Japan_Airlines_Boeing_767-300ER_1.jpg;jpg;720;960;0.75;3;Boeing;767;Int;no
50;American_Airlines_ERJ-175_MCE_3.jpg;jpg;720;720;1.0;3;Other;;Int;no
51;Finnair_Airbus_A321_0.jpg;jpg;720;720;1.0;3;Airbus;A321;Ext;no
52;Turkish_Airlines_Airbus_A319_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A319;Int;no
53;Hainan_Airlines_Boeing_737-800_2.jpg;jpg;720;720;1.0;3;Boeing;737;Int;no
54;United_Airlines_Embraer_Emb_175_1.jpg;jpg;720;960;0.75;3;Other;;Int;no
55;LAN_Airlines_Boeing_767-300_V2_3.jpg;jpg;720;720;1.0;3;Boeing;767;Int;no
56;Alaska_Airlines_Canadair_CRJ700_2.jpg;jpg;603;960;0.628125;3;Other;;Ext;no
57;Korean_Air_Boeing_747-400_C_1.jpg;jpg;720;538;1.3382899628252791;3;Boeing;747;Meal;no
58;Scoot_Airlines_Boeing_787-900_2.jpg;jpg;720;960;0.75;3;Boeing;787;Int;no
59;Air_Canada_Beech_1900D_2.jpg;jpg;720;540;1.3333333333333333;3;Other;;Ext;no
60;Delta_Airlines_Boeing_767-400ER_B_Version_2_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;767;Int;no
61;Air_Europa_Boeing_787-8_1.jpg;jpg;540;960;0.5625;3;Boeing;787;Int;no
62;British_Airways_Boeing_747-400_B_4.jpg;jpg;720;540;1.3333333333333333;3;Boeing;747;Meal;no
63;United_Airlines_Boeing_737-700_A_4.jpg;jpg;720;960;0.75;3;Boeing;737;Meal;no
64;United_Airlines_Bombardier_Q300_2.jpg;jpg;720;960;0.75;3;Other;;Others;no
65;Asiana_Boeing_747-400_full_0.jpg;jpg;720;960;0.75;3;Boeing;747;Ext;no
66;TAP_Portugal_Airbus_A330_V3_4.jpg;jpg;720;960;0.75;3;Airbus;A330;Int;no
67;AeroMexico_Boeing_787-9_3.jpg;jpg;720;960;0.75;3;Boeing;787;Int;no
68;Air_France_Airbus_A380_V2_3.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380;Meal;no
69;American_Airlines_AA_Boeing_737-800_C_3.jpg;jpg;720;720;1.0;3;Boeing;737;Int;no
70;Iberia_Airbus_A330-300_V2_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330;Int;no
71;Air_China_Airbus_A320_0.jpg;jpg;720;960;0.75;3;Airbus;A320;Meal;no
72;Hainan_Airlines_Airbus_A330-200_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A330;Int;no
73;Swiss_Airlines_Boeing_777-300ER_2.jpg;jpg;640;960;0.6666666666666666;3;Boeing;777;Int;no
74;Copa_Airlines_Boeing_737-700_3.jpg;jpg;720;960;0.75;3;Boeing;737;Int;no
75;United_Airlines_Boeing_737-800_C_3.jpg;jpg;720;960;0.75;3;Boeing;737;Int;no
76;Air_Canada_Boeing_787-8_2.jpg;jpg;720;960;0.75;3;Boeing;787;Int;no
77;Swiss_Airlines_A330_0.jpg;jpg;720;540;1.3333333333333333;3;Other;;Int;no
78;Southwest_Airlines_Boeing_737-700_new_1.jpg;jpg;720;540;1.3333333333333333;3;Boeing;737;Int;no
79;China_Eastern_Airbus_A320_0.jpg;jpg;720;534;1.348314606741573;3;Airbus;A320;Int;no
80;Middle_East_Airlines_Airbus_A330-200_2.jpg;jpg;720;960;0.75;3;Airbus;A330;Int;no
81;Thai_Airways_Boeing_777-200_772_2.jpg;jpg;720;960;0.75;3;Boeing;777;Int;no
82;British_Airways_Boeing_787-9_0.jpg;jpg;720;540;1.3333333333333333;3;Boeing;787;Int;no
83;Singapore_Air_Airbus_A380_D_0.jpg;jpg;720;540;1.3333333333333333;3;Airbus;A380;Ext_Int;no
84;TAM_Airlines_Boeing_767-300ER_2.jpg;jpg;720;720;1.0;3;Boeing;767;Int;no
