hashtag;name;format;height;width;height_to_width;ncol
airbus;0.jpg;jpg;512;512;1.0;3
airbus;1.jpg;jpg;512;768;0.6666666666666666;3
airbus;10.jpg;jpg;943;1080;0.8731481481481481;3
airbus;100.jpg;jpg;757;1080;0.700925925925926;3
airbus;1000.jpg;jpg;899;1024;0.8779296875;3
airbus;1001.jpg;jpg;576;1024;0.5625;3
airbus;1002.jpg;jpg;1080;1080;1.0;3
airbus;1003.jpg;jpg;698;1080;0.6462962962962963;3
airbus;1004.jpg;jpg;484;750;0.6453333333333333;3
airbus;1005.jpg;jpg;810;1080;0.75;3
airbus;1006.jpg;jpg;1350;1080;1.25;3
airbus;1007.jpg;jpg;1209;1080;1.1194444444444445;3
airbus;1008.jpg;jpg;810;1080;0.75;3
airbus;101.jpg;jpg;900;720;1.25;3
airbus;1010.jpg;jpg;1350;1080;1.25;3
airbus;1011.jpg;jpg;1080;1080;1.0;3
airbus;1013.jpg;jpg;1080;1080;1.0;3
airbus;1014.jpg;jpg;601;750;0.8013333333333333;3
airbus;1015.jpg;jpg;1080;1080;1.0;3
airbus;1016.jpg;jpg;1350;1080;1.25;3
airbus;1018.jpg;jpg;570;1080;0.5277777777777778;3
airbus;1019.jpg;jpg;607;1080;0.562037037037037;3
airbus;102.jpg;jpg;810;1080;0.75;3
airbus;1020.jpg;jpg;810;1080;0.75;3
airbus;1021.jpg;jpg;683;1024;0.6669921875;3
airbus;1022.jpg;jpg;633;1080;0.5861111111111111;3
airbus;1023.jpg;jpg;720;720;1.0;3
airbus;1024.jpg;jpg;1350;1080;1.25;3
airbus;1025.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1026.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1027.jpg;jpg;1080;1080;1.0;3
airbus;1028.jpg;jpg;608;1080;0.562962962962963;3
airbus;1029.jpg;jpg;720;1080;0.6666666666666666;3
airbus;103.jpg;jpg;450;360;1.25;3
airbus;1030.jpg;jpg;879;879;1.0;3
airbus;1031.jpg;jpg;609;1080;0.5638888888888889;3
airbus;1032.jpg;jpg;801;1080;0.7416666666666667;3
airbus;1033.jpg;jpg;1350;1080;1.25;3
airbus;1034.jpg;jpg;1175;1080;1.087962962962963;3
airbus;1035.jpg;jpg;710;960;0.7395833333333334;3
airbus;1036.jpg;jpg;929;1080;0.8601851851851852;3
airbus;1037.jpg;jpg;1350;1080;1.25;3
airbus;1038.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1039.jpg;jpg;810;1080;0.75;3
airbus;104.jpg;jpg;861;1080;0.7972222222222223;3
airbus;1042.jpg;jpg;593;890;0.6662921348314607;3
airbus;1043.jpg;jpg;687;1080;0.6361111111111111;3
airbus;1044.jpg;jpg;809;1080;0.7490740740740741;3
airbus;1045.jpg;jpg;1350;1080;1.25;3
airbus;1046.jpg;jpg;1080;1080;1.0;3
airbus;1047.jpg;jpg;1080;1080;1.0;3
airbus;1048.jpg;jpg;1080;1080;1.0;3
airbus;1049.jpg;jpg;1080;1080;1.0;3
airbus;105.jpg;jpg;810;1080;0.75;3
airbus;1050.jpg;jpg;1080;1080;1.0;3
airbus;1051.jpg;jpg;1350;1080;1.25;3
airbus;1052.jpg;jpg;1349;1080;1.249074074074074;3
airbus;1053.jpg;jpg;1349;1080;1.249074074074074;3
airbus;1054.jpg;jpg;1350;1080;1.25;3
airbus;1055.jpg;jpg;900;720;1.25;3
airbus;1056.jpg;jpg;1322;1080;1.224074074074074;3
airbus;1057.jpg;jpg;1080;1080;1.0;3
airbus;1058.jpg;jpg;1080;1080;1.0;3
airbus;1059.jpg;jpg;1350;1080;1.25;3
airbus;106.jpg;jpg;682;682;1.0;3
airbus;1060.jpg;jpg;810;1080;0.75;3
airbus;1061.jpg;jpg;1080;864;1.25;3
airbus;1062.jpg;jpg;607;1080;0.562037037037037;3
airbus;1063.jpg;jpg;1335;1080;1.2361111111111112;3
airbus;1064.jpg;jpg;720;720;1.0;3
airbus;1065.jpg;jpg;1080;1080;1.0;3
airbus;1066.jpg;jpg;719;720;0.9986111111111111;3
airbus;1067.jpg;jpg;1350;1080;1.25;3
airbus;1068.jpg;jpg;1350;1080;1.25;3
airbus;1069.jpg;jpg;540;720;0.75;3
airbus;107.jpg;jpg;1080;1080;1.0;3
airbus;1070.jpg;jpg;900;900;1.0;3
airbus;1071.jpg;jpg;900;1080;0.8333333333333334;3
airbus;1072.jpg;jpg;1080;1080;1.0;3
airbus;1073.jpg;jpg;956;956;1.0;3
airbus;1074.jpg;jpg;719;1080;0.6657407407407407;3
airbus;1075.jpg;jpg;406;720;0.5638888888888889;3
airbus;1076.jpg;jpg;1080;1080;1.0;3
airbus;1077.jpg;jpg;747;747;1.0;3
airbus;1078.jpg;jpg;798;1080;0.7388888888888889;3
airbus;1079.jpg;jpg;1352;1080;1.2518518518518518;3
airbus;108.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1080.jpg;jpg;720;1080;0.6666666666666666;3
airbus;1081.jpg;jpg;1080;1080;1.0;3
airbus;1082.jpg;jpg;655;1080;0.6064814814814815;3
airbus;1083.jpg;jpg;641;1080;0.5935185185185186;3
airbus;1084.jpg;jpg;906;1036;0.8745173745173745;3
airbus;1085.jpg;jpg;824;828;0.9951690821256038;3
airbus;1086.jpg;jpg;1080;1080;1.0;3
airbus;1087.jpg;jpg;539;720;0.7486111111111111;3
airbus;1088.jpg;jpg;718;1080;0.6648148148148149;3
airbus;1089.jpg;jpg;582;1080;0.5388888888888889;3
airbus;109.jpg;jpg;1329;1080;1.2305555555555556;3
airbus;1090.jpg;jpg;810;1080;0.75;3
airbus;1091.jpg;jpg;718;903;0.7951273532668881;3
airbus;1092.jpg;jpg;1080;1080;1.0;3
airbus;1093.jpg;jpg;390;450;0.8666666666666667;3
airbus;1094.jpg;jpg;718;1080;0.6648148148148149;3
