aircraft_manufacturer;aircraft_type;view;name;format;height;width;height_to_width;ncol
Airbus;A220;Int;Delta_Airlines_DL_Airbus_A220-100_0.jpg;jpg;720;960;0.75;3
Airbus;A310;Ext;Air_Transat_Airbus_A310-300_1.jpg;jpg;640;960;0.6666666666666666;3
Airbus;A310;Int;Air_Transat_Airbus_A310-300_0.jpg;jpg;717;960;0.746875;3
Airbus;A318;Ext;Air_France_Airbus_A318_A_0.jpg;jpg;717;960;0.746875;3
Airbus;A318;Ext;Air_France_Airbus_A318_A_1.jpg;jpg;720;720;1.0;3
Airbus;A318;Int;Air_France_Airbus_A318_A_2.jpg;jpg;720;480;1.5;3
Airbus;A318;Int;Air_France_Airbus_A318_A_3.jpg;jpg;639;960;0.665625;3
Airbus;A318;Int;Air_France_Airbus_A318_A_4.jpg;jpg;639;960;0.665625;3
Airbus;A318;Int;Avianca_Airbus_A318-100_0.jpg;jpg;720;540;1.3333333333333333;3
Airbus;A318;Int;Avianca_Airbus_A318-100_1.jpg;jpg;720;720;1.0;3
Airbus;A318;Int;Avianca_Airbus_A318-100_2.jpg;jpg;720;720;1.0;3
Airbus;A318;Int;British_Airways_Airbus_A318_1.jpg;jpg;720;960;0.75;3
Airbus;A318;Int;British_Airways_Airbus_A318_2.jpg;jpg;720;720;1.0;3
Airbus;A318;Int;British_Airways_Airbus_A318_3.jpg;jpg;720;720;1.0;3
Airbus;A318;Int;British_Airways_Airbus_A318_4.jpg;jpg;631;960;0.6572916666666667;3
Airbus;A318;Meal;British_Airways_Airbus_A318_0.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext;Bangkok_Airways_Airbus_A319_3.jpg;jpg;720;720;1.0;3
Airbus;A319;Ext;Bangkok_Airways_Airbus_A319_V2_0.jpg;jpg;640;960;0.6666666666666666;3
Airbus;A319;Ext;easyJet_Airlines_Airbus_A319_2.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext;easyJet_Airlines_Airbus_A319_3.jpg;jpg;720;718;1.0027855153203342;3
Airbus;A319;Ext;easyJet_Airlines_Airbus_A319_4.jpg;jpg;720;720;1.0;3
Airbus;A319;Ext;LAN_Airlines_Airbus_A319_V2_1.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext;Turkish_Airlines_Airbus_A319_1.jpg;jpg;540;960;0.5625;3
Airbus;A319;Ext;Volaris_Airlines_Airbus_A319_1.jpg;jpg;653;960;0.6802083333333333;3
Airbus;A319;Ext_Int;Air_India_Airbus_A319_V2_0.jpg;jpg;576;960;0.6;3
Airbus;A319;Ext_Int;Bangkok_Airways_Airbus_A319_2.jpg;jpg;714;960;0.74375;3
Airbus;A319;Ext_Int;easyJet_Airlines_Airbus_A319_1.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext_Int;Finnair_Airbus_A319_0.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext_Int;Finnair_Airbus_A319_2.jpg;jpg;720;540;1.3333333333333333;3
Airbus;A319;Ext_Int;LAN_Airlines_Airbus_A319_0.jpg;jpg;720;960;0.75;3
Airbus;A319;Ext_Int;Lufthansa_Airbus_A319-100_NEK_0.jpg;jpg;720;960;0.75;3
